,lyrics_title,lyrics
81,Nothings Into Somethings Lyrics, intro  dj paul  you ever hear some slow tracks  you know what i m sayin   with  like  some pimpin  to it  or somethin  that you can relax  pop a top to  or somethin     verse 1  drake  big cup of ac   i m drowsy i m still posted up where you first found me did i just read that you just got engaged on me  i heard from your friend  you couldn t even tell me or better yet  wait on me   chorus  drake  nah  sha nah nah nah nah nah sha nah nah nah nah nah can t just leave it off that way sha nah nah nah nah nah sha nah nah nah can t just leave it off that way  nah   verse 2  drake  least  do i get an invitation or something  a statement or something  ask about that  you would say it was nothing but here s another nothing that you made into something can t just leave it off that way
82,Teenage Fever Lyrics, verse 1  drake  your heart is hard to carry after dark you re to blame for what we could have been  cause look at what we are your friends are scared to tell you  you went too far funny that it s always been all about you from the start i met someone new last night and we kicked it and i m going back there tonight and you know what s on my mind  this time going back there tonight and you know what s on my mind so   chorus  jennifer lopez  if you had my love and i gave you all my trust would you comfort me  and if somehow you knew that your love would be untrue would you lie to me  if you had my love and i gave you all my trust would you comfort me  and if somehow you knew that your love would be untrue would you lie to me    verse 2  drake  out of body that s just how i feel when i m around you  shawty last night we didn t say it but girl  we both thought it why second guess  i should have stayed you say the word  i m on the way this shit feels like teenage fever i m not scared of it  she ain t either why second guess  i should have stayed  cause you know what s on my mind so   chorus  jennifer lopez  if you had my love and i gave you all my trust would you comfort me  and if somehow you knew that your love would be untrue would you lie to me  if you had my love and i gave you all my trust would you comfort me  and if somehow you knew that your love would be untrue would you lie to me    outro  dave  yeah  slightly took a left turn there but very much 6am slightly been awake for 24 hours  so please forgive me more ideas and stuff comin  yeah  yeah  fam i m wafflin   but man is tired  fam  jesus christ
83,KMT (Ft. Giggs) Lyrics, intro  giggs   drake   ness on the beat  yeah  yeah  yeah  yeah  yeah  yeah yeah  okay  okay  okay   verse 1  drake   giggs  demon just got out the can  yeah  i gave my bro an advance  yeah  love is just not in my plans not even takin  a chance studio right in my yaad i m doin  ten in a week how long i been on this streak  dream about work in my sleep  oof  okay  i got a lock on the streets shoutout to t  he did three and he brought it in  cause of me you don t know nothin   bout me life for my bruddas is deep long as they all on they feet long as they pockets is greaze  greaze   i m in the penthouse but still  nothin  is sweet  yeah  dust a man down with the pen  it s a sweep  mmm   taller in person  you ll see when we meet i heard your new shit and i m kissin  my teeth jheeze    interlude  giggs  you know dem ones  hahaha yeah  ahh    verse 2  giggs  bringin  that dirty dirty  bringin  that certy  certy  mizzy with the quick extension  ringin  off thirty  rah   i ve got bitches in the merky  swervin   lookin  all curvy and you already know i love them breasts  lookin  all perky lookin  all christmas gift wrapped  lookin  all turkey spen jumped out the ghost in a suit  lookin  all churchy  oof   fingers all itchin   twitchin   lookin  all jerky  jerky  whippin  that white girl  yeah    cookin  that cersei  dah   i was pushin  that dark shit  pushin  that charcoal  yeah  now this is that big bad  this is gustavo  mmm   look at them jokers  look at that arsehole man are gettin  bread now  and this is that hard dough  yeah  clap man  dominant murder i m a black man  government earner could ve just slapped man  but he wanted it further  why   batman  da na na da na   outro  october firm
84,Lose You Lyrics, intro  john taylor   drake  i don t care what society thinks  they re nothing anyway  they re no better than me  out there you just have to fit into a pattern that somebody s already laid out for you  life we live  you have to set your own patterns  your own ideals  you have to handle the whole job yourself   yeah    verse 1  drake  no snow tires  the range slip slide like trick daddy and trina oli north pull in  like  10 million a season queen street visions that nobody believed in if we not on the charts  my xo niggas eatin  fifty two consecutive weekends  shout out to weeknd the city gets stronger when everybody is speakin  not when everybody out here beefin  we got it  now we just gotta keep it america s most wanted  man  i m still on the run all these number ones and we still not the ones no hard feelings  but i ll still get you spun went and got diplomas and we still goin  dumb please never label niggas who lay down for a livin  my competition  it s beyond offensive i m in it for the glory  not the honor mention not tryna be fourth and inches  i m tryna go the distance yeah  distance  i m on a different mission this the remix to  ignition   hot and fresh out the kitchen how you forget to fill up with gas on the road to riches  too overly ambitious  too late to fix it too late for condolences when it s over with i need to start sayin  shit when i notice it be open with people i need some closure with be honest with myself and take ownership opinions started to burn when tables started to turn i really used to feel like they loved a nigga at first excitin  times  revitalized trust this little light of mine is gonna shine positively i m just takin  what god will give me grateful like jerry  bob and mickey better attitude  we ll see where it gets me i know catchin  flies with honey is still sticky i wrote the book on world class finesses and tasteful gestures and makin  efforts and never placin  second and even better knowin  you re first but then takin  second inspirin  and never takin  credit i know i deserve more  i just never said it two middle fingers as i make a exit  yeah   chorus  drake  did i lose you  did i  did i  did i lose you  did i  did i  did i lose you    verse 2  drake  winnin  is problematic people like you more when you workin  towards somethin  not when you have it way less support from my peers in recent years as i get established unforgivin  times  but fuck it  i manage why is my struggle different than others   only child that s takin  care of his mother as health worsens and bills double that s not respectable all of a sudden  i don t get a pat on the back for the come up  what do you see when you see me  when did all the things i mean from the bottom of my heart start to lose meaning  maybe i share it with too many people back then it used to just feel like our secret back when i would write and not think about how they receive it i be tryna manifest the things i needed and look  now  i mean  it s hard to believe it even for me but you re mindful of it all when your mind full of it all how they go from not wantin  me at all to wantin  to see me lose it all  things get dark  but my aura just starts glowin  i m overcome with emotions ones i can t access when i m stoned sober jealous ones still envy and niggas turn king cobra i could only speak what i know of man  we wrote the book on calculated thinkin  and icy heineken drinkin   and rival neighborhoods linkin  and puttin  your trust in someone with the risk of financially sinkin  all you did was write the book on garbage ass rollies ego strokin   picture postin  claimin  that you d do it for motivational purposes only but you just had to show me see  i know   cause i study you closely i know when someone lyin  i notice people standin  for nothin  and gettin  tired i know what we re both thinkin  even when you re quiet sometimes i gotta just make sure that i didn t lose you   chorus  drake  did i  did i  did i lose you  did i  did i  did i lose you    outro  600 breezy  this is the 6 s year six hundreds instead of six  ovo you know we ll be rockin  our asses out to my big brother drizzy you know what i m sayin   more life  6 to the world  gang shit
85,Can't Have Everything Lyrics, verse 1  drake  uh  man  fresh up out the sand  february tan it s the boy but i m still the man  come and get your mans i don t know  first you caught the hands  then you took the stand it s a joke  but you say you real i don t understand on a yacht  me and all the dogs actin  like some dogs we evolved  used to think vacation meant niagara falls swear to god  shout to buffalo  never duckin  low i don t stop  man  i m stuck on go  always hug the road fuck a opp  make his body roll  yeah  a lot of those started out doin  college shows  calipari flow then i popped like you never seen we with everything  i went off in the  16  give me  17   chorus  drake  want a lot  can t have everything  can t have everything want a lot  can t have everything but i want everything   verse 2  drake  bad attitude  tellin  who to calm down  tryna cool it all down  who s callin  my name  who s involved now  tell me who i gotta down i ll do a song now  man even though there s way less to prove to y all now  man everything that went around is comin  back around y all better hit the ground goddamn  beef forever unfinished yeah  it s all open ended  had me off for a minute had you all since beginnin  damn  i must be coachin    cause i m not playin  with them can you not see the difference  i mean  i keep the fuckin  lights on in the buildin  man  my record deal should be 500 million  goddamn   chorus  drake  can t have everything  can t have everything want a lot  can t have everything but i want everything   verse 3  drake  finally got my mind in a free state niggas tried to serve me up a cheesesteak i gave them back a clean plate same niggas preein  cause they hate to see the team straight same niggas beakin   always duckin  my release dates that s when the phone starts ringin  like   are we straight   two faced niggas back around with the three face damn  ol  triple double  russ face  watch with the bust face never met the plug but i rap about the plug face never met myself  i don t remember who i was face y all fuckin  hilarious y all really think y all niggas teamin  up is scarin  us y all niggas is arrogant  y all sleep at the sheraton all that shit embarrassin  tell your big homie i m all for goin  there again he ain t even die and i ball with his inheritance all that s in my account at the bank of america all that drake hysteria 6 side  east side  all that for my area   outro  sandi graham  you know  hun  i m a bit concerned about this negative tone that i m hearing in your voice these days  i can appreciate where your uncertainty stems from and you have reason to question your anxieties and how disillusioned you feel  as well as feeling skeptical about who you believe you can trust  but that attitude will just hold you back in this life  and you re going to continue to feel alienated  give some thought to this  because i m confident in you  and i know you can reach your desired destination and accomplish your goals much more quickly without this confrontation i m hearing in your tone these days  when others go low  we go high 
86,Glow (Ft. Kanye West) Lyrics, chorus  kanye west  watch out for me  i m bound to glow you better watch out for me  i m bound to glow   verse 1  kanye west  your boy all glowed up every time we touch down  bet it go up  member doin  shows  ain t nobody show up pour your heart out  ain t nobody show love they used to laugh when my whip was on the tow truck  til me and bein  broke finally broke up   chorus  drake  watch out for me  i m about to glow   verse 2  kanye west  time to shake the dice  time to change the li i ight no more 9 to 5  autopilot dri i ive used to work the fries  now we supersi i ize we go suit and tie  we gon  touch the sky y y we so certified  we so certifi i ied fuck you haters still  that s an f y i i i they gon  bang this here all summerti i ime   chorus  drake  watch out for me  i m about to glow   interlude  kanye west  yeah  yeah turn me way up  my voice is really low yeah  yeah  yeah  yeah  okay   verse 3  kanye west   drake   watch out  watch out why  nigga   the cops out  cops out  it s all love when i ride top down  top down i started out way down low started from the bottom  now we here now   chorus  drake  watch out for me  i m about to glow   verse 4  kanye west  we about to get the whole nine the whole nine  we just landed on a gold mine we the new abu dhabi  this is our time   chorus  drake  watch out for me  i m about to glow   verse 5  drake  i just take the dreams i ve been sold and sell  em for more  you already know   chorus  drake  watch out for me  i m about to glow   verse 6  kanye west  hope i deal with karma  fore my son do  cause i be drivin  round this bih with no sunroof man  the glow got me feelin  like i m gunproof   chorus  drake  watch out for me  i m about to glow   verse 7  drake  i still have my guard up blame this thing i m part of tryin  to avoid more confrontation i just gotta try harder takin  the time to clear my mind  cause soon as i m able to let that go   chorus  kanye west  watch out for me  i m bound to glow   outro  earth  wind   fire  through devotion blessed are the children we love y all too  we believe if there s anything y all wanna do in life you need devotion can i hear right on  through devotion blessed are the children we live for it clap your hands this evening come on  y all i said it s alright clap your hands this evening come on  y all
87,Since Way Back (Ft. PARTYNEXTDOOR) Lyrics,part i   intro  partynextdoor  yeah  crowd talking    verse 1  partynextdoor  pool in my eyes as you beg  i testify that i hate being alone but you finally got me out my zone i know and i miss you know when i m tripping oh  yes it s difficult thank god i m christian remember how this all begun  just us my mama said you was bad news like   dun dun dun dun  you proved her right  every single night oh my  oh my  can t close my eyes can t open my eyes  don t know what to do i m in some kind of mood you re so beautiful  you re so beautiful   chorus  partynextdoor  we gotta listen to some old kelly you slipped out if you don t know already girl  i know you know already girl  i know you know already things are gettin  hot and heavy things are gettin  hot and heavy girl  i know you know already girl  i know you  girl  i know you   refrain  partynextdoor  girl  i know you know already what haven t we done before  what is not already mine  couldn t tell you what s not yours   verse 2  drake  you said that you think about me every day saturday to saturday you see that i ve been goin  through it hopin  everything s okay i just want to let you know everything these days is textual i just want to get a lil  sexual  with you  cause i remember way  way back with the waves under the wave cap you were someone else s wife in fact you didn t even look at me like that then it all just switched  over time step by step and you know what s next girl  i can t pretend   chorus  partynextdoor  we gon  have to listen to some old kelly you slipped out if you don t know already girl  i know you know already girl  i know you know already things are gettin  hot and heavy things are gettin  hot and heavy girl  i know you know already girl  i know you know how it s gon  go down i know you  babe   refrain  partynextdoor  girl  i know you know already what haven t we done before  what is not already mine  couldn t tell you what s not yours yeah  you know already tell you what s not yours tell you what s not yours  part ii   verse 3  drake  six months since i ve been back in the six and i can t help but wonder how you ve been  babe   bridge  drake  what are you on  gotta let me know something what are you on  gotta let me know something what are you on  gotta let me know something wonder how you ve been   verse 4  drake  i ve been out in bel air like will was these streets got so familiar malibu coast where i meditate book a plane home  then i hesitate scared to see what i left behind it s weighin  heavy on my mind and i can t help but wonder how you ve been  babe   bridge  drake  what are you on  gotta let me know something what are you on  gotta let me know something what are you on  gotta let me know something wonder how you ve been  babe   chorus  partynextdoor  r  kelly you slipped out if you don t know already girl  i know you know already girl  i know you know already things are gettin  hot and heavy things are gettin  hot and heavy girl  i know you know already girl  i know you know how it s gon  go down
88,Fake Love Lyrics, chorus  i ve been down so long  it look like up to me they look up to me i got fake people showin  fake love to me straight up to my face  straight up to my face i ve been down so long  it look like up to me they look up to me i got fake people showin  fake love to me straight up to my face  straight up to my face   verse 1  somethin  ain t right when we talkin  somethin  ain t right when we talkin  look like you hidin  your problems really you never was solid no  you can t  son  me you won t never get to run me just when shit look out of reach i reach back like one  three like one  three  yeah   pre chorus  that s when they smile in my face whole time they wanna take my place whole time they wanna take my place whole time they wanna take my place yeah  i know they wanna take my place i can tell that love is fake i don t trust a word you say how you wanna clique up after your mistakes  look you in the face  and it s just not the same   chorus  i ve been down so long  it look like up to me they look up to me i got fake people showin  fake love to me straight up to my face  straight up to my face i ve been down so long  it look like up to me they look up to me i got fake people showin  fake love to me straight up to my face  straight up to my face   verse 2  yeah  straight up to my face  tryna play it safe vibe switch like night and day i can see it  like  right away i came up  you changed up i caught that whole play since  things never been the same   pre chorus  that s when they smile in my face whole time they wanna take my place whole time they wanna take my place whole time they wanna take my place yeah  i know they wanna take my place i can tell that love is fake  i can tell that love is fake  i don t trust a word you say  i don t trust a word  how you wanna clique up after your mistakes   that s just what i heard  look you in the face  and it s just not the same   chorus  i ve been down so long  it look like up to me they look up to me i got fake people showin  fake love to me straight up to my face  straight up to my face i ve been down so long  it look like up to me they look up to me i got fake people showin  fake love to me straight up to my face  straight up to my face   outro  skrrt and more chune for your headtop so watch how you speak on my name  you know 
89,Ice Melts (Ft. Young Thug) Lyrics, intro  young thug  yeah nigga  what you thought  slatt  slatt  slatt jeffery  mario  jeffery  ayy yeah   chorus  young thug  feel a rump rump baby  i m needin  somethin   somethin  i wan  beat it up with somethin   somethin  you re a diamond out the rough or somethin   somethin  you need to give it up to someone you need to give luck to someone you need to fuckin  stop watchin  me you need to give it up to someone before you end up like woah  woah  woah  woah  like woah  woah  woah woah  woah  woah woah  woah  woah woah  woah  woah  woah  jeffery    verse 1  drake  look  i want you to myself but i know you just left someone else  i know you did he did a number on you  i know  brrrt  that must be why you move so    icy   bridge  drake  icy like 1017 icy like there s nobody you d ever need better not give that up to anyone but me  yeah  patient as can be  but   pre chorus  drake  i still need some satisfaction a little less talk and a little more action i need you out in jamaica  relaxin  thought i had everything  somehow   chorus  young thug  young thug   drake  feel a rump rump baby  i m needin  somethin   somethin  i wan  beat it up with somethin   somethin  you re a diamond out the rough or somethin   somethin  you need to give it up to someone you need to give luck to someone you need to fuckin  stop watchin  me you need to give it up to someone before you end up like woah  woah  woah  woah  like woah  woah  woah woah  woah  woah woah  woah  woah woah  woah  woah  woah  jeffery    verse 2  drake  i wanna see you do more in this life if we takin  it there  takin  it  i want to see you do 911  fuck a panamera  in a 911  see you when i see the real thing  gettin  realer and realer  real  yeah  yeah  yeah   bridge  drake  but you icy like 1017  icy  icy like there s nobody you d ever need  icy  icy  better not give that up  better not give that up  i m here patient as can be  man   pre chorus  drake  i still need some satisfaction a little less talk and a little more action i need you out in jamaica  relaxin  thought i had everything somehow   chorus  young thug  young thug   drake  feel a rump rump baby  i m needin  somethin   somethin  i wan  beat it up with somethin   somethin  you re a diamond out the rough or somethin   somethin  you need to give it up to someone you need to give luck to someone you need to fuckin  stop watchin  me you need to give it up to someone before you end up like woah  woah  woah  woah  like woah  woah  woah woah  woah  woah woah  woah  woah woah  woah  woah  woah  jeffery   outro  young thug  yeah nigga  what you thought  slatt  slatt  slatt jeffery  mario  jeffery  ayy woah  woah  woah  woah woah  woah  woah  woah  jeffery  jeffery  woah  woah  woah  woah
90,Do Not Disturb Lyrics, background  snoh aalegra  silence keeps cloudin  me hand on my heart and i  i wish time never mattered   verse  drake  yeah  stylin  though dissin  but got pictures with me smilin  though all the things you need  you still want problems though all the things i know  i still been silent though yeah  used to be at silvercity  indigo used to be in lunchroom  playin  dominoes i don t want to have to go to funerals i gotta start sleepin  at the studio i don t have no time to be no romeo all the love i need is at the rodeo all the love i need is here at ovo  yeah all the girls i know are there with e and tho who knows where i end up when that shit gets old  maybe it never gets old and that s just how it goes last table left in carbone  callin  plays on the rotary phone i take a glass of domina to go with me home might move our annual shit to the  dome i need 40 000 people to see what i m on yeah  ducked a lot of spiteful moves i was an angry yute when i was writin  views saw a side of myself that i just never knew i ll probably self destruct if i ever lose  but i never do steady doin  double shifts 1da doin  the beat and i open up like a double click more blessings because i m generous thirty seater plane for like ten of us remember when i bought sealey the fake chanel wallet she knew that shit was a fraud but never told me about it nowadays when we catchin  up we just laugh about it can t describe what my life is like when she asks about it scary whenever i close my eyes at night wakin  up to public statements about my private life i can never sleep  til mornin  on all my quiet nights but you can rest assured that my mind is right get no sick days  i leave for like three months in six days never stick around to see shit change get lil  updates  texts in my inboxes have been poppin  seasons go by like i m binge watchin  went from club palazzo in the bridge to club liv to not even showin  up at a club  less we doin  biz  i can t even party while a nigga pursuin  this distractions will do you in  in the truest sense especially people that want to lecture me and frame it like they just want the best for me or they check for me  whatever splits it up so there s more for them and there s less for me they don t know they got to be faster than me to get to me no one s done it successfully 7am in germany  can t believe that they heard of me last verse that i gotta do is always like surgery always tryin  to let go of anything that ll burden me that s the reason you can feel the tension and the urgency last chance i get to make sure that you take it personally take this shit to heart  it s always executed perfectly if we do a song it s like takin  my kids to work with me you overnight celebrity  you one day star swear i told you that i m in this bitch for eternity i am a reflection of all of your insecurities behind closed doors  a lot of 6 god worshipping done talk now   cause there s other shit that s concernin  me there s real ones around me i want to make sure they learn from me i want to see my dog  but his grandmother s his surety he can t even dip out to see me in an emergency my life is centered  round competition and currency takin  summer off   cause they tell me i need recovery maybe gettin  back to my regular life will humble me i ll be back in 2018 to give you the summary more life
91,More Life [Note] Lyrics,more life    more time with family and friends  more life    i ve still got vibrations to send  more life    they say that we could live forever   at night i pray it s true   i ve done so much in my short time and still there s more to do   but if someone should come collecting  sooner than we re all expecting   at least the life you lived was one for you    drake
92,Keep the Family Close Lyrics, intro  it s a little chilly out there how you can stand there is beyond me   chorus  all of my  let s just be friends  are friends i don t have anymore how do you not check on me when things go wrong guess i should ve tried to keep my family closer much closer all of my  let s just be friends  are friends i don t have anymore guess that s what they say you need family for cause i can t depend on you anymore   verse 1  always saw you for what you could ve been ever since you met me like when chrysler made that one car that looked just like the bentley i always saw you for what you could ve been and even when it s business with you it s personal again i knew you before you made ends meet and now we re meeting our end   bridge  and it s all because you chose a side you re supposed to put your pride aside and ride for me guess it wasn t time  yeah  and of course you went and chose a side that wasn t mine   verse 2  you re so predictable i hate people like you kennedy road taught me not to trust people like you how you supposed to figure out what i m going through you can t even figure out what s going on with you you judge me  fore you met me yeah it figures i make all the player s anthems for the real niggas with my dad out in tennessee is where i belong out here in l a   i don t know what s going on i don t know what s going on   bridge  and it s all because you chose a side you re supposed to put your pride aside and ride for me guess it wasn t time  yeah  and of course you went and chose a side that wasn t mine   verse 3  you sit and you pray hoping that the stars align my luck is a sure thing cause i m living right when i needed you  you couldn t give me any advice but you always had something to say every other time everybody that i met on the way tries to get in the way i m fooding and serving them all like i m working for minimum wage someone up there must just love testing my patience someone up there must be in need of some entertainment forgiveness for your ways if i ever loved ya  i ll always love ya  that s how i was raised same way i m right here still feeling the way same way i m realizing on a day to day that   chorus  all of my  let s just be friends  are friends i don t have anymore how do you not check on me when things go wrong guess i should ve tried to keep my family closer much closer all of my  let s just be friends  are friends i don t have anymore guess that s what they say you need your family for cause i can t depend on you anymore much closer   outro  girl  spoken   any time people want to start problems it s like  for real  are you dumb   you know who mans are i m not afraid no gyal heart man and i m not afraid of no cyattie and i m not afraid of no waste yute neither so anybody who want it can get it seh feh
93,9 Lyrics, intro  yeah  for the dogs dem  you know man when shit gets like this  man the whole city shit s crazy right now  and shit ain t gonna stop know shit gonna get a lot more worse before it get any better   verse 1  look  momma hit my phone and said rap s no good better than her telling me the check s no good now they wanna act like i do no good funny  cause i really did more than i should i made a decision last night that i would die for it just to show the city what it takes to be alive for it can t get me on the line so they hang me out to dry for it you know 40 wants peace but i m down to cut ties for it and i can t sleep these days unless i take one if they don t have a story these days  they ll make one life is always on  man  i never get a break from it doesn t matter where i go  i can never get away from it they give me loyalty and i don t gotta pay for it same way  breads gotta break for it keeping people fed is my only peace of mind now and i turn the six upside down  it s a nine now i made a decision last night that i would die for it   chorus   dying  yeah  yeah  gangstas  gangstas  gangstas      dying  yeah  yeah  gangstas  gangstas  gangstas      dying  yeah  yeah  gangstas  gangstas  gangstas      dying  yeah  yeah  gangstas  gangstas  gangstas       verse 2  all these hand outs  man it s getting outta hand i ma start telling niggas  get it how you can  i got it right now so i m everybody s friend if i ever lose i bet we never speak again i made a decision last night  i d die for it just to show the city what it takes to be alive for it first place  first place  man we can t be tied for it i only drove it five times  paid 1 5 for it keychain go jang a lang  i wanna do major things mj in every way  i just don t fade away six upside down  it s a nine now like mannie  like stunna  man  shit is big time now and i made a decision last night that i would die for it   chorus   dying  yeah  yeah  gangstas  gangstas  gangstas      dying  yeah  yeah  gangstas  gangstas  gangstas      dying  yeah  yeah  gangstas  gangstas  gangstas      dying  yeah  yeah  gangstas  gangstas  gangstas       outro  make me feel the same way that i did to you trust me when i say i thought it all through trust me when i say that shit is old moves god made himself a way from me to you tried to kill me but they still want the views tried to kill me but they still want the views tried to kill me but i am very much alive on the six side yeah  i said i am very much alive on the six side i said i am    
94,U With Me? Lyrics, intro  dmx  what these bitches want from a nigga    verse 1  drake  on some dmx shit i group dm my exes i tell  em they belong to me  that goes on for forever and i think we just get closer when we not together you tell me that i m confusin  more immature than marques houston cuts too deep for a band aid solution we too deep in this thing  you ll never lose me lolol  i m glad you find this shit amusin  heard a lot about me  fore we started off i know you heard that my pool parties like mardi gras i know you heard that my girl is sponsored by audemars that s why she always correctin  me when my time is off and my house is the definition of alcohol and weed addiction you got a different vision you wanna walk around naked in the kitchen without runnin  into one of my niggas that s not the way we livin  too much goin  on  it s just not realistic these days i don t talk  bout them days like i miss  em and you shouldn t miss  em either  we different people but every time we speakin    chorus  drake  it s like a lot of games bein  played how s it goin  down  if it s on  til we gone  then i gots to know now is you wit  me or what  yeah it s like a lot of games are bein  played how s it goin  down  if it s on  til we gone  then i gots to know now is you wit  me or what  yeah   verse 2  drake  i wanna know how much time you spent on them paragraphs where you re getting me all that grey in our conversation history  you playin  mind games  when you sayin  things playin  mime games  we both doin  the same thing slide on a late night you like to slide on a late night you sent a  are you here   text without an invite that s that shit that i don t like we both slide on a late night do things in our off time we both  yeah made some mistakes  pon road yeah  how s that for real  you toyin  with it like happy meal 3 dots  you thinkin  of a reaction still while you re typin   make sure you tell me   chorus  drake  what type of games are bein  played  how s it goin  down  if it s on  til we gone  then i gots to know now is you wit  me or what  yeah what type of games are bein  played  how s it goin  down  if it s on  til we gone  then i gots to know now is you wit  me or what  yeah   verse 3  drake  yeah  remember you was livin  at the london for a month service elevator up to 4201 we was still a secret  couldn t come in through the front girl  i had your back when all you used to do was front that s for sure though  i made a career off reminiscin  time got a funny way of tickin   things are so much different i ll admit it  i ve admitted to a lot of things act like you know it  fuck them stories  fuck the shade they throwin  understand i got responsibilities to people that i need and on my way to make this dough a lot of niggas cut the check so they can take this flow a lot of niggas cut the check so they can take this flow ohhh  ohhh tryna give your ass the world you runnin  your fingers through my curls you knew me when the kid had waves but that s enough of that you could never say i came up and forgot about your ass and that s some real shit
95,Feel No Ways Lyrics, verse  i should be downtown  whipping on the way to you you got something that belongs to me your body language says it all despite the things you said to me who is it that s got you all gassed up  changin  your opinion on me i was only gone for the last few months but you don t have the time to wait on me   chorus  i tried with you there s more to life than sleeping in and getting high with you i had to let go of us to show myself what i could do and that just didn t sit right with you and now you re tryna make me feel a way  on purpose now you re throwing it back in my face  on purpose now you re talking down on my name  on purpose  yeah and you don t feel no way  you think i deserve it world s  world s  world s famous world s  world s  world s famous   post chorus  feel a way  feel a way  young nigga feel a way i ve stopped listenin  to things you say  cause you don t mean it anyway  yeah feel a way  feel a way  young nigga feel a way maybe we just should have did things my way instead of the other way   chorus  i tried with you there s more to life than sleeping in and getting high with you i had to let go of us to show myself what i could do and that just didn t sit right with you and now you re tryna make me feel a way  on purpose now you re throwing it back in my face  on purpose now you re talking down on my name  on purpose  yeah and you don t feel no way  you think i deserve it world s  world s  world s famous world s  world s  world s famous   post chorus  yeah  yeah  yeah yeah  yeah  yeah feel a way  feel a way  young nigga feel a way i ve stopped listening to things you say feel a way  feel a way  young nigga feel a way i ve stopped listening to things you say   produced by jordan ullman 
96,Hype Lyrics, intro  baka   drake  man don t live of a di hype huh  real ting ay yeah   verse 1  drake  i pull up in lexus  like it s  07 i just hit a lick  i got to hit a next one last year i know you learned your lesson i could gps you if you need addressin  boss up  i m the bigger homie but i m one year older than my lil homie  09 they was biddin  on me but i m young money  got it written on me okay now we got some action everything i said  it happened that boy light as michael jackson but on verses  he been blackin  chasin  women a distraction they wan  be on tv right next to me you cannot be here right next to me don t you see riri right next to me  i hate a rapper especially they feel the same  but they hide it they just discuss it in private don t get along man  we tried it what s the point in even tryin   i hate a goofy especially they always dyin  to mention me they gotta die out eventually i cannot give you the recipe you know the game is sold separately swear i just had an epiphany it cost me 50 at tiffany s shout out to tiffany  stephanie they used to always come check for me my enemies wanna be friends with my other enemies i don t let it get to me   chorus  drake  done look what i ve done in my life i had to count it and count it again to make sure the money was right they love to talk me  i m just dunning the hype me  i m just dunning the hype me i m just done  done  done  done  done   verse 2  drake  i don t take this shit for granted i do my own propaganda i feel like juelz santana leg hangin  out the phantom 6 cold like alaska views already a classic roy outta here like nasa bustin  1 s out the plastic her gram too poppin  to fuck her the chain too heavy to tuck it  i m serious i feed my family with this so don t play with my money this summer  i m serious i don t run out of material you shouldn t speak on me  period you try to give  em your side of the story they heard it  but they wasn t hearin  it they feeling a way and won t hide it niggas done being silent don t get along man  we tried it what s the point of even tryin   i hate a goofy especially they always dyin  to mention me they gotta go  they gotta go they gotta die out eventually i cannot give  em no empathy i ma have b s when i m 70 they cannot fuck with the legacy i don t know what else is left for me after this no one a threat to me my enemies wanna be friends with my other enemies i don t let it get to me   chorus  drake  done look what i ve done in my life i had to count it and count it again to make sure the money was right they love to talk me  i m just dunning the hype me  i m just dunning the hype me i m just done  done  done  done  done
