,lyrics
23,"['intro', 'jai', 'paul', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'chorus', 'jai', 'paul', 'fuck', 'fuck', 'fuck', 'fuck', 'fuck', 'fuck', 'verse', '1', 'drake', 'got', 'car', 'money', 'fresh', 'start', 'money', 'want', 'saudi', 'money', 'want', 'art', 'money', 'want', 'women', 'cry', 'pour', 'heart', 'tell', 'much', 'hate', 'apart', 'yeah', 'lately', 'bitches', 'meanest', 'tell', 'em', 'love', 'em', 'ever', 'mean', 'go', 'dates', 'send', 'maybach', 'neighborhoods', 'never', 'seen', 'shit', 'dangerous', 'convenient', 'lying', 'yeah', 'comfortable', 'sit', 'manual', 'ferrari', 'italia', 'fly', 'shit', 'sitting', 'house', 'like', 'bought', '96', 'cause', 'honestly', 'fucking', 'busy', 'drive', 'stick', 'swear', 'fucking', 'busy', 'busy', 'fuckin', 'nigga', 'girl', 'hot', 'open', 'doors', 'pre', 'heated', 'oven', 'ho', 'finished', 'though', 'minute', 'though', 'newest', 'girl', 'back', 'home', 'got', 'issues', 'parents', 'charges', 'fuck', 'get', 'paris', 'luckily', 'greatest', 'country', 'ever', 'seen', 'chances', 'get', 'border', 'issue', 'clearance', 'dreams', 'money', 'buy', 'everybody', 'yelled', 'surprise', 'surprised', 'cause', 'waiting', 'nigga', 'fuck', 'whoever', 'hating', 'nigga', 'course', 'chorus', 'fuck', 'fuck', 'fuck', 'fuck', 'fuck', 'fuck', 'fuck', 'fuck', 'verse', '2', 'drake', 'food', 'india', 'charlotte', 'olympias', 'talked', 'music', 'hours', 'never', 'mentioned', 'ya', 'tell', 'much', 'love', 'niggas', 'think', 'got', 'love', 'fact', 'line', 'made', 'em', 'think', 'ymcmb', 'niggas', 'make', 'hard', 'friendly', 'know', 'part', 'envy', 'tryna', 'fill', 'shoes', 'nigga', 'far', 'empty', 'take', 'em', 'house', 'throw', 'carpets', 'fendi', 'ooh', 'never', 'seen', 'car', 'claim', 'drive', 'shit', 'seen', 'inside', 'feel', 'like', 'lately', 'went', 'top', 'five', 'remaining', 'five', 'favorite', 'rappers', 'either', 'lost', 'alive', 'tryna', 'bring', 'us', 'weezy', 'stunna', 'stayed', 'christmas', 'lights', 'middle', 'summer', 'girl', 'standing', 'next', 'got', 'fat', 'ass', 'probably', 'give', 'number', 'yeah', 'throw', 'dollars', 'high', 'land', 'stage', 'dance', 'got', 'company', 'coming', 'would', 'kill', 'put', 'pants', 'dreams', 'money', 'buy', 'told', 'like', 'high', 'lie', 'yeah', 'good', 'pussy', 'waiting', 'nigga', 'fuck', 'whoever', 'hating', 'nigga', 'aw', 'yeah', 'chorus', 'jai', 'paul', 'fuck', 'fuck', 'fuck', 'fuck', 'fuck', 'fuck', 'fuck', 'fuck', 'outro', 'jai', 'paul', 'fuck', 'fuck']"
24,"['intro', 'drake', 'sampha', 'reckless', 'know', 'love', 'like', 'say', 'moving', 'well', 'guess', 'motion', 'guess', 'motion', 'oh', 'oh', 'guess', 'motion', 'oh', 'oh', 'guess', 'motion', 'oh', 'oh', 'guess', 'motion', 'verse', '1', 'drake', 'fuck', 'give', 'moving', 'state', 'state', 'leather', 'timbs', 'like', '1998', 'dog', 'chubby', 'chub', 'nigga', 'way', 'eastside', 'city', 'everybody', 'stay', 'seem', 'like', 'everybody', 'calling', 'cause', 'want', 'song', 'like', 'every', 'time', 'touch', 'could', 'never', 'wrong', 'need', 'favor', 'man', 'leave', 'alone', 'guess', 'motion', 'yeah', 'chorus', '1', 'drake', 'drake', 'sampha', 'sampha', 'phone', 'ring', 'got', 'everything', 'motion', 'oh', 'oh', 'guess', 'motion', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'oh', 'oh', 'guess', 'motion', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'verse', '2', 'drake', 'yeah', 'looking', 'back', 'least', 'pride', 'intact', 'cause', 'said', 'strings', 'attached', 'still', 'got', 'tied', 'everything', 'write', 'either', 'even', 'without', 'know', 'girl', 'wan', 'na', 'save', 'like', 'danger', 'health', 'try', 'somebody', 'wan', 'na', 'somebody', 'else', 'always', 'thought', 'perfect', 'even', 'know', 'help', 'guess', 'motion', 'yeah', 'chorus', '2', 'drake', 'drake', 'sampha', 'probably', 'come', 'around', 'soon', 'settle', 'motion', 'oh', 'oh', 'guess', 'motion', 'oh', 'oh', 'guess', 'motion', 'oh', 'oh', 'guess', 'motion', 'outro', 'drake', 'sampha', 'nothing', 'less', 'nothing', 'hear', 'heart', 'hit', 'floor', 'guess', 'motion', 'talking', 'enough', 'guess', 'motion', 'oh', 'oh', 'guess', 'motion', 'guess', 'motion', 'oh', 'oh', 'guess', 'motion', 'oh', 'oh', 'guess', 'motion', 'oh', 'oh', 'guess', 'motion', 'yeah']"
25,"['intro', 'shit', 'talking', 'bout', 'though', 'like', 'changed', 'even', 'fuckin', 'link', 'nobody', 'dash', 'away', 'like', 'cyattie', 'yo', 'cheesed', 'dog', 'verse', '1', 'always', 'felt', 'like', 'vision', 'bigger', 'bigger', 'picture', 'crazy', 'got', 'ta', 'wait', 'dark', 'see', 'really', 'crazy', 'even', 'miss', 'shit', 'come', 'back', 'around', 'get', 'crazy', 'like', 'niggas', 'crazy', 'like', 'niggas', 'remember', 'deleted', 'girls', 'numbers', 'phone', 'remember', 'take', 'bar', 'exam', 'drove', 'snow', 'yeah', 'probably', 'remember', 'half', 'shit', 'nigga', 'yeah', 'chorus', 'yeah', 'really', 'fuck', 'way', 'back', 'bout', 'cause', 'right', 'right', 'stuck', 'right', 'stuck', 'right', 'oh', 'thought', 'figured', 'back', 'bout', 'cause', 'right', 'right', 'stuck', 'right', 'yeah', 'stuck', 'right', 'thought', 'little', 'effort', 'put', 'enough', 'girl', 'bout', 'yeah', 'girl', 'bout', 'bout', 'girl', 'girl', 'bout', 'interlude', 'heart', 'belongs', 'verse', '2', 'yeah', 'always', 'daddy', 'little', 'angel', 'bought', 'dad', 'bunch', 'shit', 'christmas', 'even', 'say', 'thank', 'money', 'left', 'actin', 'focused', 'music', 'used', 'always', 'try', 'burn', 'cds', 'new', 'shit', 'like', 'like', 'girl', 'like', 'oh', 'word', 'true', 'shit', 'ask', 'could', 'listen', 'ludacris', 'car', 'rides', 'made', 'feel', 'like', 'losin', 'yeah', 'made', 'feel', 'like', 'average', 'like', 'started', 'drinkin', 'way', 'used', 'people', 'form', 'habits', 'like', 'girl', 'yeah', 'man', 'enough', 'tell', 'hurt', 'year', 'even', 'christian', 'still', 'went', 'church', 'year', 'guess', 'pretend', 'year', 'even', 'see', 'friends', 'year', 'places', 'chorus', 'yeah', 'really', 'fuck', 'way', 'back', 'bout', 'cause', 'right', 'right', 'stuck', 'right', 'stuck', 'right', 'oh', 'thought', 'figured', 'back', 'girl', 'bout', 'cause', 'right', 'right', 'stuck', 'right', 'yeah', 'stuck', 'right', 'thought', 'little', 'effort', 'put', 'enough', 'girl', 'bout', 'yeah', 'girl', 'bout', 'bout', 'girl', 'girl', 'bout', 'outro', 'heart', 'belongs', 'whatever', 'need', 'nothin', 'whatever', 'need', 'nothin', 'whatever', 'need', 'nothin', 'whatever', 'need', 'nothin']"
26,"['intro', 'uh', 'aw', 'yeah', 'aw', 'yeah', 'call', 'drank', 'let', 'let', 'call', 'uh', 'interlude', 'care', 'money', 'city', 'sip', 'feel', 'smoke', 'til', 'done', 'really', 'give', 'fuck', 'excuse', 'young', 'getting', 'older', 'somebody', 'told', 'one', 'ayy', 'fuck', 'one', 'yeah', 'said', 'one', 'fuck', 'one', 'strong', 'one', 'two', 'white', 'cups', 'got', 'drink', 'could', 'purple', 'could', 'pink', 'depending', 'mix', 'shit', 'money', 'got', 'get', 'shit', 'cause', 'one', 'fuck', 'one', 'aw', 'yeah', 'aw', 'yeah', 'know', 'oh', 'yes', 'oh', 'yeah', 'oh', 'yes', 'oh', 'yeah', 'uh', 'oh', 'yes', 'oh', 'yeah', 'yeah', 'uh', 'verse', '1', 'know', 'sipping', 'teach', 'mix', 'one', 'cause', 'trust', 'bitches', 'trust', 'bitches', 'might', 'catch', 'slipping', 'one', 'cause', 'trust', 'bitches', 'might', 'might', 'catch', 'slipping', 'put', 'something', 'different', 'one', 'cause', 'trust', 'bitches', 'trust', 'bitches', 'might', 'catch', 'slipping', 'one', 'chorus', 'oh', 'woah', 'trust', 'issues', 'oh', 'woah', 'trust', 'issues', 'oh', 'woah', 'trust', 'issues', 'oh', 'woah', 'woah', 'woah', 'woah', 'interlude', 'yeah', 'aw', 'yeah', 'aw', 'yeah', 'let', 'call', 'drank', 'let', 'get', 'wasted', 'drank', 'let', 'get', 'faded', 'yeah', 'uh', 'verse', '2', 'drizzy', 'drake', 'check', 'coming', 'live', 'motherfuckin', 'north', 'side', 'kick', 'game', 'run', 'game', 'run', 'real', 'good', 'never', 'ever', 'bitches', 'sitting', 'courtside', 'nigga', 'knew', 'way', 'back', 'acting', 'like', 'somebody', 'know', 'tell', 'fuck', 'posed', 'stay', 'friends', 'got', 'bunch', 'feelings', 'show', 'could', 'tell', 'could', 'tell', 'could', 'tell', 'certain', 'people', 'like', 'new', 'shit', 'excite', 'guess', 'really', 'make', 'em', 'like', 'uh', 'look', 'eyes', 'see', 'cause', 'created', 'hate', 'still', 'let', 'girls', 'tell', 'em', 'leave', 'cell', 'phones', 'table', 'see', 'day', 'man', 'pm', 'niggas', 'hating', 'wish', 'would', 'say', 'see', 'oh', 'bridge', 'shit', 'drives', 'crazy', 'getting', 'lately', 'probably', 'scared', 'put', 'time', 'women', 'want', 'fuck', 'like', 'looking', 'things', 'think', 'find', 'em', 'chorus', 'oh', 'woah', 'trust', 'issues', 'oh', 'woah', 'trust', 'issues', 'oh', 'woah', 'trust', 'issues', 'oh', 'woah', 'woah', 'woah', 'woah', 'outro', 'yeah', 'aw', 'yeah', 'aw', 'yeah', 'let', 'call', 'drank', 'let', 'get', 'wasted', 'drank', 'let', 'get', 'faded', 'yeah', 'aw', 'yeah', 'aw', 'yeah', 'call', 'drank', 'let', 'let', 'call', 'uh']"
27,"['verse', '1', 'yeah', 'keep', 'askin', 'right', 'right', 'one', 'wan', 'na', 'get', 'drama', 'got', 'lot', 'say', 'last', 'thing', 'nigga', 'wan', 'na', 'hear', 'right', 'chorus', 'spendin', 'days', 'east', 'side', 'oh', 'forgettin', 'side', 'oh', 'young', 'nigga', 'switchin', 'program', 'right', 'tryna', 'put', 'power', 'hands', 'right', 'ride', 'old', 'hood', 'right', 'got', 'much', 'pride', 'good', 'right', 'waitin', 'give', 'hit', 'could', 'fall', 'like', 'old', 'times', 'hit', 'post', 'chorus', 'terrible', 'invitin', 'call', 'nights', 'need', 'someone', 'else', 'call', 'one', 'take', 'control', 'call', 'get', 'already', 'know', 'call', 'verse', '2', 'keep', 'askin', 'couple', 'things', 'rather', 'talk', 'right', 'told', 'bout', 'givin', 'chances', 'chances', 'chances', 'holdin', 'holdin', 'back', 'right', 'chorus', 'spendin', 'days', 'east', 'side', 'oh', 'oh', 'oh', 'oh', 'oh', 'forgettin', 'side', 'oh', 'young', 'nigga', 'switchin', 'program', 'right', 'tryna', 'put', 'power', 'hands', 'right', 'love', 'ass', 'speak', 'truth', 'oh', 'tryna', 'wake', 'oh', 'waitin', 'give', 'hit', 'could', 'fall', 'like', 'old', 'times', 'hit', 'post', 'chorus', 'terrible', 'invitin', 'call', 'nights', 'need', 'someone', 'else', 'call', 'one', 'take', 'control', 'call', 'get', 'already', 'know', 'call', 'interlude', 'drake', 'rihanna', 'yeah', 'ayy', 'yeah', 'threw', 'hands', 'air', 'said', 'show', 'somethin', 'yeah', 'ayy', 'verse', '3', 'remember', 'one', 'night', 'went', 'erykah', 'badu', 'house', 'made', 'tea', 'talked', 'love', 'life', 'could', 'really', 'said', 'shit', 'real', 'know', 'thinkin', 'bout', 'already', 'know', 'yeah', 'night', 'chubbs', 'showed', 'house', 'weed', 'nigga', 'til', 'gone', 'keep', 'ear', 'streets', 'said', 'city', 'stress', 'low', 'said', 'feel', 'nigga', 'already', 'know', 'yeah', 'already', 'girls', 'talkin', 'bout', 'got', 'ta', 'leave', 'already', 'damn', 'lil', 'nephew', 'turned', 'four', 'already', 'gave', 'little', 'help', 'need', 'already', 'damn', 'need', 'already', 'fore', 'said', 'mine', 'already', '22', 'bentley', 'four', 'door', 'already', 'even', 'boy', 'boy', 'already', 'know', 'mean', 'pussy', 'galore', 'already', 'mention', 'girls', 'get', 'insecure', 'already', 'past', 'matured', 'already', 'fuck', 'hoes', 'got', 'award', 'already', 'go', 'chanel', 'get', 'rewards', 'already', 'know', 'shit', 'third', 'ward', 'already', 'know', 'shit', 'h', 'town', 'already', 'already', 'already', 'yeah', 'back', 'thing', 'go', 'couple', 'niggas', 'pocket', 'know', 'first', 'time', 'cause', 'lost', 'get', 'back', 'get', 'back', 'pull', 'back', 'know', 'road', 'take', 'back', 'know', 'roll', 'get', 'know', 'friends', 'askin', 'stand', 'boy', 'facetime', 'say', 'got', 'plans', 'boy', 'studyin', 'body', 'exams', 'boy', 'take', 'flight', 'pop', 'xan', 'boy', 'waking', 'amsterdam', 'boy', 'long', 'flight', 'home', 'nother', 'xan', 'boy', 'would', 'prolly', 'fly', 'japan', 'boy', 'would', 'prolly', 'kill', 'another', 'man', 'boy', 'would', 'prolly', 'would', 'prolly', 'lie', 'bout', 'stand', 'boy', 'put', 'bible', 'right', 'hand', 'boy', 'never', 'got', 'ta', 'worry', 'bout', 'boy', 'know', 'got', 'know', 'got', 'really', 'good', 'insurance', 'boy', 'got', 'ta', 'pack', 'bag', 'hurry', 'boy', 'yeah', 'fring']"
28,"['produced', 'fam', 'co', 'produced', 'boi', '1da', 'intro', 'watch', 'watch', 'look', 'look', 'watch', 'watch', 'yeah', 'look', 'look', 'yeah', 'chorus', 'draft', 'day', 'johnny', 'manziel', 'five', 'years', 'later', 'man', 'still', 'draft', 'day', 'wiggins', 'fuck', 'side', 'bitch', 'stay', 'winnin', 'aww', 'man', 'know', 'know', 'ya', 'yeah', 'suits', 'ties', 'yellin', 'pay', 'guys', 'man', 'ya', 'know', 'ya', 'know', 'ya', 'aww', 'man', 'aww', 'man', 'aww', 'man', 'man', 'know', 'verse', 'sometimes', 'laugh', 'god', 'stop', 'darkest', 'angel', 'probably', 'still', 'got', 'gettin', 'mine', 'still', 'better', 'lives', 'shit', 'set', 'aside', 'make', 'sure', 'people', 'getting', 'brunch', 'qatar', 'royals', 'cup', 'oil', 'know', 'real', 'niggas', 'take', 'fall', 'loyal', 'keep', 'eggin', 'gon', 'na', 'crack', 'shell', 'prove', 'hard', 'boiled', 'mm', 'last', 'night', 'tried', 'raw', 'oysters', 'man', 'boy', 'growin', 'quick', 'boy', 'know', 'shit', 'boy', 'singin', 'every', 'song', 'know', 'spit', 'boy', 'manifested', 'boy', 'knew', 'written', 'boy', 'purpose', 'boy', 'know', 'shittin', 'get', 'past', 'followed', 'moves', 'realize', 'til', 'left', 'shit', 'chance', 'would', 'picked', 'name', 'like', 'chance', 'rapper', 'yeah', 'offense', 'cause', 'know', 'nigga', 'focused', 'making', 'records', 'gettin', 'bigger', 'hits', 'misses', 'married', 'folk', 'tell', 'em', 'fix', 'suite', 'cause', 'comin', 'home', 'heard', 'talking', 'crazy', 'town', 'know', 'love', 'pop', 'shit', 'around', 'sound', 'make', 'snap', 'jot', 'go', 'booth', 'lay', 'body', 'know', 'somalis', 'say', 'got', 'wallahi', 'get', 'us', 'donuts', 'coffee', 'wait', 'lobby', 'got', 'ta', 'tell', 'chill', 'sprite', 'got', 'payroll', 'let', 'man', 'live', 'say', 'okay', 'say', 'see', 'whatever', 'say', 'goes', 'play', 'like', 'roids', 'canseco', 'oakland', 'though', 'shout', 'bay', 'though', 'think', 'eighth', 'flow', 'watch', 'paint', 'flow', 'art', 'could', 'never', 'hate', 'though', 'signin', 'deals', 'lawyer', 'heavy', 'case', 'load', 'game', 'turn', 'drake', 'show', 'dog', 'fuck', 'happen', 'go', 'worried', 'bout', 'bitches', 'fashion', 'go', 'missin', 'action', 'never', 'notice', 'missin', 'hunger', 'games', 'shit', 'would', 'die', 'district', 'jennifer', 'lawrence', 'really', 'get', 'yeah', 'mean', 'real', 'girl', 'know', 'ya', 'know', 'ya', 'know', 'oh', 'wait', 'sidebar', 'left', 'beat', 'end', 'fuck', 'niggas', 'could', 'loop', 'get', 'lies', 'szn', 'chorus', 'draft', 'day', 'johnny', 'manziel', 'five', 'years', 'later', 'man', 'still', 'draft', 'day', 'wiggins', 'fuck', 'side', 'bitch', 'stay', 'winnin', 'aww', 'man', 'know', 'know', 'ya', 'yeah', 'suits', 'ties', 'yellin', 'pay', 'guys', 'man', 'ya', 'know', 'ya', 'know', 'ya', 'aww', 'man', 'aww', 'man', 'aww', 'man', 'man', 'know', 'outro']"
29,"['verse', 'yeah', 'self', 'promoters', 'janky', 'established', 'like', 'yankees', 'whole', 'fuckin', 'game', 'thankless', 'movin', 'militant', 'somehow', 'one', 'tankin', 'limit', 'take', 'know', 'cris', 'bottle', 'sender', 'check', 'picker', 'upper', 'thought', 'looked', 'one', 'another', 'saw', 'us', 'brothers', 'struggle', 'blessed', 'humble', 'guess', 'different', 'city', 'come', 'sudden', 'got', 'people', 'showing', 'much', 'truly', 'resent', 'whole', 'demeanor', 'spells', 'envy', 'tryna', 'tempt', 'higher', 'get', 'less', 'accept', 'even', 'og', 'tryna', 'press', 'ha', 'ha', 'ha', 'ha', 'way', 'cause', 'already', 'attending', 'show', 'get', 'ticket', 'good', 'business', 'clean', 'millions', 'got', 'vision', 'since', 'scrubs', 'pigeons', 'even', 'back', 'poppin', 'told', 'take', 'r', 'b', 'nigga', 'road', 'told', 'em', 'drew', 'kendrick', 'rocky', 'tried', 'make', 'right', 'choices', 'world', 'watching', 'mike', 'never', 'tried', 'rap', 'like', 'pac', 'pac', 'never', 'tried', 'sing', 'like', 'mike', 'dad', 'words', 'asked', 'make', 'life', 'always', 'said', 'mother', 'gave', 'greatest', 'advice', 'yeah', 'look', 'look', 'like', 'golden', 'child', 'nobody', 'hold', 'especially', 'right', 'certain', 'shit', 'wild', 'reconcile', 'take', 'take', 'love', 'heart', 'fake', 'dicaprio', 'level', 'way', 'play', 'damn', 'nigga', 'hear', 'songs', 'hit', 'phone', 'like', 'even', 'hit', 'line', 'like', 'always', 'shit', 'like', 'get', 'favor', 'bitch', 'like', 'tell', 'costa', 'careyes', 'got', 'kidnapped', 'sorry', 'sorry', 'late', 'sorry', 'green', 'white', 'red', 'body', 'cause', 'dipped', 'ferrari', 'wan', 'na', 'get', 'high', 'listen', 'party', 'complain', 'tell', 'driver', 'drop', 'barneys', 'summer', 'diet', 'ros', 'calamari', 'look', 'got', 'started', 'black', 'sheep', 'rest', 'peace', 'chris', 'farley', 'got', 'lot', 'lose', 'cause', 'every', 'situation', 'bigger', 'artist', 'always', 'got', 'ta', 'play', 'smarter', 'shook', 'cookup', 'cameras', 'pointing', 'every', 'time', 'look', 'got', 'ta', 'duck', 'behind', 'chubb', 'shoulder', 'hit', 'kush', 'sponsorship', 'dollars', 'sky', 'high', 'like', 'drake', 'please', 'stop', 'smoking', 'la', 'la', 'chubbs', 'try', 'thug', 'die', 'high', 'got', 'rose', 'pink', 'tinted', 'lenses', 'wednesday', 'architects', 'takin', 'dimensions', 'redoin', 'entrance', 'yeah', 'redoin', 'entrance', 'kinda', 'like', 'niggas', 'drop', 'shit', 'still', 'never', 'quite', 'get', 'meantime', 'drizzy', 'tryna', 'make', 'make', 'dance', 'yeah', 'make', 'dance', 'roll', 'big', 'body', 'wide', 'body', 'calabasas', 'road', 'winder', 'sun', 'shinin', 'waxed', 'tires', 'see', 'kris', 'jenner', 'beep', 'twice', 'wave', 'rest', 'boys', 'blow', 'keeks', 'right', 'face', 'pistol', 'bed', 'sleep', 'awake', 'one', 'night', 'niggas', 'try', 'reach', 'inside', 'safe', 'push', 'cause', 'way', 'uneasy', 'nowadays', 'guys', 'move', 'greezy', 'nowadays', 'tell', 'life', 'believe', 'say', 'save', 'stories', 'line', 'ahead', 'curve', 'every', 'time', 'total', 'hits', 'see', 'find', 'swv', 'cause', 'weak', 'always', 'always', 'mind', 'outro', 'yeah', 'stop', 'make', 'dance', 'uh', 'make', 'one', 'dance', 'ha', 'ha', 'ha', 'ha', 'bad', 'breed', 'bad', 'bwoy', 'uh', 'huh', 'yeah', 'right', 'yeah']"
30,"['intro', 'yeah', 'old', 'tommy', 'campos', 'dice', 'raw', 'shit', 'know', 'niggas', 'though', 'verse', 'uh', 'underestimated', 'greatly', 'number', 'ones', 'ever', 'long', 'really', 'take', 'part', 'love', 'need', 'hate', 'never', 'take', 'shots', 'got', 'everybody', 'safety', 'could', 'load', 'every', 'gun', 'bullets', 'fire', 'backwards', 'probably', 'lose', 'single', 'rapper', 'niggas', 'make', 'threats', 'hear', 'em', 'laughter', 'yeah', 'cause', 'headed', 'bank', 'nigga', 'sinatra', 'lifestyle', 'bein', 'frank', 'ya', 'mean', 'think', 'ya', 'wildin', 'doin', 'shit', 'way', 'budget', 'owl', 'sweaters', 'inside', 'luggage', 'got', 'ta', 'love', 'damn', 'shit', 'could', 'go', 'tape', 'bitches', 'lovin', 'drive', 'never', 'give', 'break', 'give', 'niggas', 'look', 'verse', 'even', 'hook', 'every', 'song', 'sound', 'like', 'drake', 'featurin', 'drake', 'str8', 'pree', 'always', 'got', 'us', 'watchin', 'words', 'like', 'wiretaps', 'team', 'cause', 'show', 'love', 'never', 'get', 'outta', 'niggas', 'guess', 'funny', 'money', 'make', 'change', 'outta', 'niggas', 'real', 'nobody', 'started', 'feelin', 'couple', 'somebodies', 'started', 'killin', 'themself', 'couple', 'albums', 'dropped', 'still', 'shelf', 'bet', 'shits', 'would', 'popped', 'willin', 'help', 'got', 'gold', 'trophy', 'committee', 'validation', 'bad', 'press', 'summer', 'allegations', 'lyin', 'nigga', 'time', 'money', 'got', 'time', 'nigga', 'whose', 'time', 'coming', 'lot', 'niggas', 'pr', 'stuntin', 'like', 'movement', 'nigga', 'still', 'known', 'music', 'swear', 'fuck', 'niggas', 'year', 'made', 'forbes', 'list', 'nigga', 'fuck', 'list', 'everything', 'lookin', 'gorgeous', 'without', 'rap', 'bunch', 'orphans', 'stay', 'shit', 'bunch', 'corpses', 'dread', 'nigga', 'new', 'orleans', 'stashin', 'money', 'like', 'hoarders', 'multi', 'platinum', 'recordings', 'eatin', 'like', 'seated', 'swish', 'sotto', 'joso', 'nothing', 'shit', 'ezee', 'coco', 'shit', 'karim', 'shit', 'jaevon', 'shit', 'julius', 'milly', 'mill', 'boy', 'shit', 'real', 'boys', 'boys', 'wills', 'anything', 'happen', 'pop', 'got', 'like', 'uncle', 'phil', 'weezy', 'edge', 'niggas', 'need', 'chill', 'anything', 'happen', 'papi', 'might', 'pop', 'nigga', 'real', 'comin', 'live', 'screwface', 'livin', 'suitcase', 'feelin', 'good', 'johnny', 'got', 'pushin', 'two', 'plates', 'weight', 'refused', 'wait', 'started', 'new', 'race', 'funny', 'think', 'nigga', 'blew', 'lupe', 'niggas', 'treat', 'like', '10', 'niggas', 'couple', 'never', 'king', 'james', 'shit', 'tryna', 'win', 'young', 'nigga', 'tryna', 'win', 'man', 'outro', 'ayy', 'yeah', 'young', 'nigga', 'tryin', 'win', 'like', 'fly', 'city', 'got', 'drinkin', 'boy', 'got', 'fucked', 'shorty', 'aww', 'yeah']"
31,"['verse', '1', 'waited', 'long', 'many', 'days', 'since', 'january', 'still', 'sitting', 'alone', 'already', 'said', 'got', 'email', 'today', 'kind', 'thought', 'forgot', 'wan', 'na', 'hit', 'back', 'say', 'like', 'get', 'lonely', 'chorus', 'baby', 'could', 'really', 'get', 'know', 'take', 'time', 'show', 'tell', 'anybody', 'get', 'lonely', 'take', 'another', 'place', 'face', 'face', 'rules', 'like', 'get', 'lonely', 'ooh', 'ooh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'like', 'get', 'lonely', 'ooh', 'ooh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'like', 'get', 'lonely', 'verse', '2', 'ready', 'us', 'get', 'got', 'love', 'call', 'steady', 'hope', 'like', 'long', 'friend', 'let', 'wan', 'na', 'come', 'strong', 'cause', 'many', 'people', 'wan', 'na', 'get', 'know', 'got', 'ta', 'like', 'get', 'lonely', 'chorus', 'baby', 'could', 'really', 'get', 'know', 'take', 'time', 'show', 'tell', 'anybody', 'get', 'lonely', 'take', 'another', 'place', 'face', 'face', 'rules', 'like', 'get', 'lonely', 'ooh', 'ooh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'like', 'get', 'lonely', 'ooh', 'ooh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'like', 'get', 'lonely', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'get', 'lonely', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'baby', 'could', 'really', 'get', 'know', 'take', 'time', 'show', 'tell', 'anybody', 'get', 'lonely', 'take', 'another', 'place', 'face', 'face', 'rules', 'like', 'get', 'lonely', 'ooh', 'ooh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'like', 'get', 'lonely', 'ooh', 'ooh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'like', 'get', 'lonely', 'outro', 'get', 'lonely', 'get', 'lonely', 'like']"
32,"['intro', 'yeah', 'shit', 'sound', 'like', 'rich', 'feel', 'like', 'fo', 'real', 'life', 'shit', 'everywhere', 'control', 'much', 'going', 'much', 'much', 'much', 'much', 'much', 'much', 'make', 'wan', 'na', 'take', 'make', 'wan', 'na', 'take', 'take', 'chorus', '1', 'never', 'come', 'stay', 'always', 'hiding', 'new', 'york', 'condo', 'never', 'come', 'stay', 'anybody', 'knows', 'girl', 'know', 'know', 'wasting', 'relationship', 'relationship', 'rushing', 'forcing', 'making', 'sense', 'focused', 'things', 'even', 'mean', 'nothing', 'girl', 'find', 'time', 'sit', 'discuss', 'girl', 'let', 'least', 'tell', 'side', 'things', 'man', 'aw', 'man', 'aw', 'man', 'aw', 'man', 'verse', 'playing', 'house', 'start', 'thinking', 'losing', 'touch', 'got', 'tight', 'grip', 'maybe', 'loosen', 'leave', 'go', 'home', 'start', 'forgetting', 'start', 'think', 'got', 'get', 'live', 'busy', 'wedding', 'kid', 'working', 'know', 'working', 'keep', 'touch', 'women', 'cause', 'make', 'nervous', 'empower', 'girls', 'deserve', 'mean', 'shit', 'purpose', 'go', 'home', 'start', 'forgetting', 'dream', 'get', 'lost', '6', 'chorus', '2', 'ever', 'come', 'stay', 'rather', 'stay', 'new', 'york', 'condo', 'ever', 'come', 'stay', 'anybody', 'knows', 'girl', 'know', 'know', 'wasting', 'relationship', 'relationship', 'know', 'sticky', 'situations', 'get', 'go', 'higher', 'days', 'know', 'think', 'could', 'day', 'let', 'least', 'show', 'side', 'things', 'man', 'aw', 'man', 'aw', 'man', 'aw', 'man']"
